#,Date of incident,Area,Department,Equipment,Description of Breakdown/Case,Effected time (Minute),Impact on production,Action taken, RCA Status,Date of RCA,Link,Root Cause,CAPA,Responsible,Due date,Status of CAPA,Actual date,Remark,Remark of RCA team,RCA team required,Date of intimation
1,22-Oct-24,Pellet-2,Mechanical,Kiln Fixed Beam,Water leakage from fixed beam,"1,200",Stop,Leakage found & welding done,Done,23-Oct-24,Refer attachment,"Welding Strength Got Detoriated Due To Heat And Sudden Shock Was Given To Fixede Beam, Due To This Welding Cracked",CA- Leakage found & welding done,Mr. Nitesh Kumar,23-Oct-24,Done,23-Oct-24,,,,
,,,,,,,,,,,,,"PA- Properly v developed by grinding & multilayer welding done,cross checked with dept.",,,Done,,,,,
2,31-Oct-24,Pellet-2,Mechanical,NPC-2,Bearing damage,85,Speed loss,Bearing replacement,Done,11-Jan-24, ,Dust Was Getting Inside The Block And Further Damaged The Bearing Cage,CA- Bearing Changed,Mr. Nitesh Kumar,11-Jan-24,Done,11-Jan-24,,,,
,,,,,,,,,,,,,PA- Now plumber block cover has been provided to avoid the dust contamination,,,Done,,,,,
3,11-Dec-24,Pellet-2,Mechanical,B.D. -2 ,Secondary scrapper Bearing damage,120,Speed loss,Motor removed & bearing replacement done,Done,13-Nov-24,Refer attachment,"The Oil Pump Line Got Jam And Lubrication Of Bearing Got Stopped And Lead To Baering Failure,Since The Oil Line Was Painted",CA- Motor removed & bearing replacement done,Mr. Nitesh Kumar,13-Nov-24,Done,13-Nov-24,,,,
,,,,,,,,,,,,,PA- Oil pump pipe paint has been removed so that anyone can check circulation of oil,,,Done,,,,,
4,29-Jan-25,Pellet-2,E & I,C-12,Motor winding coil burn,240,No,Motor Replaced & Another Spare Motor Having Same Specs Installed.,Done,31-Jan-25,Refer attachment,"Due to Excessive Load, Low Maintenance, High Dust,Accumulation & Aging of Bearing.",CA- Motor Replaced & Another Spare Motor Having Same Specs Installed.,Mr. Bhajahari Das,31-Jan-25,Done,31-Jan-25,,ok,,
,,,,,,,,,,,,,"PA- Proper Motor Maintenance Will be Done During Every Opportunity Shutdown as High Priority.
Standard Canopy Indent Done for Motor.
Regular Cleaning Schedule was Determined for Motor Cleaning.
Mechanical Team Informed About Gear Box Problem & Belt Running Abnormality.",,,Done,,,,,
5,9-Feb-25,Pellet-1,E & I,VCB,Delay in Power Changeover of 11KV HT Feeder from SMFA to EIPL.,220,Stop,Phase Sequence connection done properly & panel charged & load given.,Done,28-Mar-25,Refer attachment,"As the panel is completely new, So during commissioning time, It Might be Done mistakenly (Human Error)","During Commissioning time of the HT incomer VCB, Due to human error the potential transformer (PT) connection was reversed.
Due to reverse connection, After giving load connection the Phase Sequence changes accordingly.
Outgoing transformer VCB breaker – 1 &2 (3.6 MVA & 4.0 MVA) taken interlock with PT supply.",Mr. Bhajahari Das,28-Mar-25,Done,31-Mar-25,,,,
6,1-Jun-25,Pellet-1,Mechanical,PC-3, Coupling bolt alignment & pin bush coupling Bolt fitting work ,77,No,pc-3 conveyor belt gearbox motor coupling alignment work done,Done,,Reference Link,DUE PROLONGED USE THE THE COUPLING GOT MIS ALIGNED,1.Alignment work done on the PC-3 conveyor belt gearbox motor coupling.,,1-Jun-25,Done,1-Jun-25,,,,
