Sl No.,RCA Serial No.,Failure Date,Reported Date,RCA Date,Division,Equipment,Impact on topline (Rs.),Downtime (hrs),Event Description/ Problem Statement,RCA Report,Root Cause,Actions,CAPA,HD  (Y/N),Target date,Responsibility,Actual Complete Date,Status,Remarks
1,RCA/BNFC/01/2022,,,20-Nov-2022,BNFC,Secondary cyclone pump,"₹3,600,000",,SECONDARY CYCLONE PUMP TRIPPED,,,DCS buzzer/pop-up alarm system to be implemented,,,,Mr. Bhajahari Das,,Completed,
2,RCA/BNFC/02/2022,,,20-Nov-2022,BNFC,ZBC,"₹15,800,000",,ZBC CONVEYOR BELT,,,Outsource cleaning of ZBC floor,,,,"Mr. S Gupta, Mr. Suvakanta Das, Mr. Sahil",,Completed,
3,RCA/BNFC/03/2022,,,08-Dec-2022,BNFC,New Thickener,"₹45,800,000",,NEW THICKENER FEED WELL  FALLEN DOWN,Refer attachment,,"inspect and clear the feed well of accumulation, whenever opportunity is available during any plant shut down.",,,,"Mr. Suvakanta Das, Mr. Sahil, Mr. Bhajahari Das",,Completed,Reminder sent to the team on 10th Jan
5,RCA/BNFC/05/2022,,,21-Dec-2022,BNFC,FP/ZBC,---,,"FP, ZBC SPILLAGE, LEAKAGE",Refer attachment,,Cleaning of material,,,,Mr. Suvakanta Das,,Completed,
6,RCA/BNFC/06/2022,,,29-Dec-2022,BNFC,FP5,---,,FP5 LOW # OF CYCLES,Refer attachment,,Plate replacement,,,,Mr. Suvakanta Das & Mr. Neeraj Singh,,Completed,
8,RCA/BNFC/08/2023,,,06-Jan-2023,BNFC,Ht ball mill,---,,HT BALL MILL SLURRY LEAKAGE,Refer attachment,,Indent Rubber Seal,,,,Mr. Ashis Sahoo,,Completed,
9,RCA/BNFC/09/2023,,,10-Jan-2023,BNFC,Thickner,---,,AVOIDING FEED INLET  THROTTLING  DURING HIGH TORQUE IN THICKENER,Refer attachment ,,SOP to be made for avoiding throttling of plant feed during high torque in thickener.,PA,,,Mr. Suvakanta Das,,Completed,
10,RCA/BNFC/10/2023,,,13-Jan-2023,BNFC,Filter press,---,,FILTER PRESS LEAKAGES,Refer attachment ,,Defective tap holes /taps to be repaired / replaced timely.,CA,,,Mr. Neeraj Singh,,Completed,
11,RCA/BNFC/11/2023,,,17-Jan-2023,BNFC,Feed pump,---,---,FEED PUMP LEAKAGES,Refer attachment ,,Provide a time delay of 1 minute  in  closing  of gland seal valve on slurry pump stoppage.,CA,,25-Feb-2023,Mr. Neeraj Singh & Mr. Bhajahari Das,,Completed,
12,RCA/BNFC/12/2023,,,20-Jan-2023,BNFC,FP4,"₹721,000",---,FP4 BACKFLOW AND SQUEEZING VALVE FAILURE,Refer attachment ,,Cast steel suitable size valves of class 150 rating with rising spindle design to be procured,,,20-Apr-2023,Mr. Neeraj Singh,,Completed,Ball valve fitted
